,date,open,close,high,low,volume,code
3178,2018/5/7,3782.54,3834.19,3834.59,3776.03,87286195,hs300
3179,2018/5/8,3834.61,3878.68,3892.07,3833.73,94215157,hs300
3180,2018/5/9,3876.13,3871.62,3878.94,3855.74,66712966,hs300
3181,2018/5/10,3882.84,3893.06,3894.49,3867.31,70667809,hs300
3182,2018/5/11,3902.15,3872.84,3903.34,3871.95,73356604,hs300
3183,2018/5/14,3886.87,3909.29,3919.3,3886.87,81975999,hs300
3184,2018/5/15,3920.14,3924.1,3924.34,3892.92,76049555,hs300
3185,2018/5/16,3909.82,3892.84,3923.34,3889.19,71913646,hs300
3186,2018/5/17,3895.49,3864.05,3899.51,3858.85,59030123,hs300
3187,2018/5/18,3860.16,3903.06,3903.06,3841.9,72613956,hs300
3188,2018/5/21,3925.54,3921.24,3937.46,3913.6,92641737,hs300
3189,2018/5/22,3918.82,3906.21,3918.82,3881.17,75368778,hs300
3190,2018/5/23,3898.27,3854.58,3898.27,3854.58,83722319,hs300
3191,2018/5/24,3853.29,3827.22,3859.1,3823.92,68345022,hs300
3192,2018/5/25,3823.74,3816.5,3841.12,3804.14,70836386,hs300
3193,2018/5/28,3816.26,3833.26,3846.55,3799.32,71521132,hs300
3194,2018/5/29,3824.19,3804.01,3841.78,3800.67,81552662,hs300
3195,2018/5/30,3755.18,3723.37,3767.89,3722.07,87913285,hs300
3196,2018/5/31,3749.3,3802.38,3804.79,3742.53,92666894,hs300
3197,2018/6/1,3789.67,3770.59,3802.54,3753.84,77821813,hs300
3198,2018/6/4,3785.19,3807.58,3813.41,3776.62,76624341,hs300
3199,2018/6/5,3811.29,3845.32,3845.56,3800.93,78687360,hs300
3200,2018/6/6,3839.68,3837.35,3848.33,3830.9,73117237,hs300
3201,2018/6/7,3846.94,3831.01,3859.85,3827.69,80256147,hs300
3202,2018/6/8,3819.45,3779.62,3819.46,3759.27,83337335,hs300
3203,2018/6/11,3770.21,3779.98,3792.55,3756.51,68709834,hs300
3204,2018/6/12,3783.19,3825.95,3830.47,3765.26,73206244,hs300
3205,2018/6/13,3814.62,3788.34,3817.45,3782.07,66377970,hs300
3206,2018/6/14,3774.64,3773.37,3808.16,3759.25,68471322,hs300
3207,2018/6/15,3763.04,3753.43,3780.34,3737.43,85488893,hs300
3208,2018/6/19,3702.67,3621.12,3712.82,3583.02,160706542,hs300
3209,2018/6/20,3602.55,3635.44,3649.34,3578.17,86718098,hs300
3210,2018/6/21,3633.56,3592.97,3673.56,3589.49,93908552,hs300
3211,2018/6/22,3567.89,3608.9,3609.08,3542.46,75117864,hs300
3212,2018/6/25,3625.8,3560.48,3631.03,3559.03,79877078,hs300
3213,2018/6/26,3521.59,3531.11,3541.78,3478.21,84985269,hs300
3214,2018/6/27,3525.13,3459.26,3537.66,3441.78,81491817,hs300
3215,2018/6/28,3434.94,3423.53,3477.06,3416.95,75918051,hs300
3216,2018/6/29,3431.96,3510.98,3512.38,3425.22,77257031,hs300
3217,2018/7/2,3504.46,3407.96,3506.9,3383.5,84351449,hs300
3218,2018/7/3,3410.48,3409.28,3422.04,3319.29,95278693,hs300
3219,2018/7/4,3398.78,3363.75,3418.33,3359.09,75157997,hs300
3220,2018/7/5,3365.55,3342.44,3398.49,3330.71,81587981,hs300
3221,2018/7/6,3347.06,3365.12,3396.25,3295.73,86097579,hs300
3222,2018/7/9,3378.91,3459.18,3459.32,3378.91,76601545,hs300
3223,2018/7/10,3464.91,3467.52,3474.14,3437.27,69548823,hs300
3224,2018/7/11,3398.93,3407.53,3427.57,3375.14,72040950,hs300
3225,2018/7/12,3403.33,3481.06,3499.1,3403.33,96353564,hs300
3226,2018/7/13,3488.5,3492.69,3499.76,3474.91,72955897,hs300
3227,2018/7/16,3488.97,3472.09,3506.24,3459.73,68281999,hs300
3228,2018/7/17,3466.42,3449.38,3467.19,3420.97,61983076,hs300
3229,2018/7/18,3456.61,3431.32,3479.26,3430.16,66530330,hs300
3230,2018/7/19,3444.8,3428.34,3466.51,3417.96,68477716,hs300
3231,2018/7/20,3426.46,3492.89,3505.93,3398.95,101984727,hs300
3232,2018/7/23,3471.86,3525.75,3527.53,3464.65,119036627,hs300
3233,2018/7/24,3530.66,3581.71,3596.51,3530.66,156912435,hs300
3234,2018/7/25,3589.51,3577.75,3589.98,3566.31,96758501,hs300
3235,2018/7/26,3583.32,3536.25,3593.92,3528.64,90349641,hs300
3236,2018/7/27,3533.77,3521.23,3545.41,3512.7,70178104,hs300
3237,2018/7/30,3520.85,3515.08,3550.9,3489.55,82116995,hs300
3238,2018/7/31,3510.47,3517.66,3528.15,3493.15,67980817,hs300
3239,2018/8/1,3530.03,3447.39,3543.61,3446.78,90348617,hs300
3240,2018/8/2,3434.35,3370.96,3434.35,3322.1,101308727,hs300
3241,2018/8/3,3366.66,3315.28,3381.34,3315.2,70796910,hs300
3242,2018/8/6,3312.82,3273.27,3344.25,3257.69,77975083,hs300
3243,2018/8/7,3284.98,3368.87,3368.96,3263.5,91783916,hs300
3244,2018/8/8,3362.15,3314.51,3368.16,3311.77,79284865,hs300
3245,2018/8/9,3303.48,3397.53,3408.39,3299.62,91957572,hs300
