date,high,low,open,close,volume,code
2021.12.20,10.4,9.91,9.97,10.34,45714542,002317.SZ
2021.12.21,10.37,10.0,10.36,10.16,25965801,002317.SZ
2021.12.22,10.58,10.16,10.22,10.57,42336745,002317.SZ
2021.12.23,11.29,10.42,11.2,10.45,49691668,002317.SZ
2021.12.24,10.9,10.16,10.31,10.57,39371037,002317.SZ
2021.12.27,11.27,10.31,10.49,11.24,51301065,002317.SZ
2021.12.28,11.25,10.82,11.18,10.9,36829701,002317.SZ
2021.12.29,11.99,10.88,10.91,11.7,87765459,002317.SZ
2021.12.30,12.09,11.3,11.6,11.8,58653186,002317.SZ
2021.12.31,12.54,11.75,11.95,12.09,48205765,002317.SZ
2022.01.04,12.5,12.01,12.4,12.1,49472599,002317.SZ
2022.01.05,12.07,11.1,12.06,11.26,53784478,002317.SZ
2022.01.06,11.69,11.09,11.61,11.42,32270058,002317.SZ
2022.01.07,11.58,11.2,11.3,11.36,27477869,002317.SZ
2022.01.10,12.5,11.4,11.4,12.5,46300979,002317.SZ
2022.01.11,13.75,12.68,12.7,13.75,50159813,002317.SZ
2022.01.12,14.42,13.3,14.01,13.42,99802516,002317.SZ
2022.01.13,13.31,12.4,13.19,12.55,66563320,002317.SZ
2022.01.14,13.81,12.49,12.5,13.57,98193034,002317.SZ
2022.01.17,14.93,13.42,14.05,14.93,95879632,002317.SZ
2022.01.18,15.76,14.15,15.11,14.82,104746892,002317.SZ
2022.01.19,15.03,13.88,14.54,14.54,57675222,002317.SZ
2022.01.20,15.28,13.56,14.6,13.7,74264256,002317.SZ
2022.01.21,13.6,12.33,13.48,12.33,53818319,002317.SZ
2022.01.24,11.96,11.18,11.77,11.35,43955108,002317.SZ
2022.01.25,11.56,10.26,11.56,10.34,39778605,002317.SZ
2022.01.26,10.45,9.89,10.26,10.01,29744159,002317.SZ
2022.01.27,10.27,9.86,10.21,9.93,34555406,002317.SZ
2022.01.28,10.11,9.7,9.99,9.74,26579345,002317.SZ
2022.02.07,10.09,9.75,9.87,9.83,22167094,002317.SZ
2022.02.08,10.0,9.7,9.79,10.0,19510665,002317.SZ
2022.02.09,11.0,9.81,9.95,10.72,50971342,002317.SZ
2022.02.10,11.07,10.52,10.67,10.66,33887717,002317.SZ
2022.02.11,10.64,10.08,10.62,10.09,28072700,002317.SZ
2022.02.14,10.75,10.27,10.43,10.45,35662719,002317.SZ
2022.02.15,10.84,10.21,10.3,10.51,32215325,002317.SZ
2022.02.16,10.5,10.22,10.49,10.29,23232328,002317.SZ
2022.02.17,10.27,9.99,10.21,10.03,22179343,002317.SZ
2022.02.18,10.19,9.93,9.94,10.1,17610184,002317.SZ
2022.02.21,10.5,10.03,10.15,10.41,32446605,002317.SZ
2022.02.22,10.39,10.08,10.33,10.22,20999931,002317.SZ
2022.02.23,10.44,10.22,10.25,10.36,18948589,002317.SZ
2022.02.24,11.3,10.23,10.27,10.66,52251572,002317.SZ
2022.02.25,10.92,10.62,10.67,10.85,33664212,002317.SZ
2022.02.28,11.66,10.6,10.99,11.38,41204484,002317.SZ
2022.03.01,11.68,10.94,11.5,11.15,27732436,002317.SZ
