date,code,high,low,open,close,volume
2022.03.15,601975.SH,1.91,1.8,1.9,1.8,120748089
2022.03.16,601975.SH,1.86,1.78,1.82,1.86,74441450
2022.03.17,601975.SH,1.89,1.85,1.86,1.86,65423257
2022.03.18,601975.SH,1.89,1.84,1.85,1.88,53944671
2022.03.21,601975.SH,1.9,1.86,1.88,1.88,44359620
2022.03.22,601975.SH,1.9,1.86,1.87,1.89,49135631
2022.03.23,601975.SH,1.9,1.87,1.89,1.89,39342596
2022.03.24,601975.SH,1.89,1.85,1.88,1.86,33766302
2022.03.25,601975.SH,1.88,1.85,1.86,1.85,34835853
2022.03.28,601975.SH,1.94,1.83,1.85,1.91,80681332
2022.03.29,601975.SH,1.96,1.89,1.9,1.91,70970494
2022.03.30,601975.SH,1.91,1.88,1.9,1.9,49543722
2022.03.31,601975.SH,1.92,1.89,1.91,1.91,44523504
2022.04.01,601975.SH,1.97,1.9,1.92,1.96,108610070
2022.04.06,601975.SH,2.0,1.93,1.95,1.99,88795077
2022.04.07,601975.SH,2.03,1.95,1.99,1.95,75714597
2022.04.08,601975.SH,1.97,1.92,1.96,1.94,46444838
2022.04.11,601975.SH,1.98,1.9,1.96,1.91,63178225
2022.04.12,601975.SH,1.99,1.9,1.91,1.99,89923649
2022.04.13,601975.SH,2.03,1.96,1.98,1.98,109148944
2022.04.14,601975.SH,2.01,1.97,1.98,1.99,71149699
2022.04.15,601975.SH,2.0,1.94,1.98,1.95,58963817
2022.04.18,601975.SH,1.96,1.91,1.96,1.93,47411173
2022.04.19,601975.SH,1.96,1.92,1.94,1.95,39900794
2022.04.20,601975.SH,1.96,1.91,1.94,1.92,49523986
2022.04.21,601975.SH,1.93,1.87,1.91,1.87,77956677
2022.04.22,601975.SH,2.0,1.85,1.86,1.96,128006410
2022.04.25,601975.SH,1.94,1.82,1.93,1.82,112597651
2022.04.26,601975.SH,1.84,1.78,1.83,1.79,68430780
2022.04.27,601975.SH,1.8,1.7,1.77,1.79,70969007
