date,high,low,open,close,volume,code
2022-03-24 00:00:00,30.3,27.9,28.48,29.57,70387322,002603
2022-03-25 00:00:00,29.65,28.12,29.14,28.18,56855262,002603
2022-03-28 00:00:00,30.6,28.2,28.55,30.1,84875438,002603
2022-03-29 00:00:00,31.4,29.52,29.88,30.21,80392994,002603
2022-03-30 00:00:00,31.29,28.7,30.01,30.69,82781564,002603
2022-03-31 00:00:00,33.76,30.21,30.21,33.5,138273913,002603
2022-04-01 00:00:00,32.5,30.8,32.3,31.54,105772217,002603
2022-04-06 00:00:00,34.69,33.58,33.99,34.69,123736772,002603
2022-04-07 00:00:00,38.16,34.11,34.35,38.16,182595135,002603
2022-04-08 00:00:00,39.84,35.7,38.22,39.09,166641033,002603
2022-04-11 00:00:00,43,37.33,37.8,42.01,162651685,002603
2022-04-12 00:00:00,43.12,39.51,41.7,39.7,147165497,002603
2022-04-13 00:00:00,39.63,36.31,38.68,36.35,136136011,002603
2022-04-14 00:00:00,39.99,36.4,36.85,39.99,144554654,002603
2022-04-15 00:00:00,39,35.99,39,35.99,147592355,002603
2022-04-18 00:00:00,32.39,32.39,32.39,32.39,15013400,002603
2022-04-19 00:00:00,33.9,29.15,29.15,32.41,191878433,002603
2022-04-20 00:00:00,31.77,29.17,31,29.27,144010884,002603
2022-04-21 00:00:00,30.99,29.62,29.62,29.97,121405176,002603
2022-04-22 00:00:00,30.3,27.18,30.3,27.33,118701355,002603
2022-04-25 00:00:00,28.79,26.19,27.27,26.79,113596822,002603
2022-04-26 00:00:00,26.99,25.01,26.7,25.25,102649494,002603
2022-04-27 00:00:00,26.04,24,24.85,25.95,102895403,002603
2022-04-28 00:00:00,26.19,24.67,25.95,25.33,80890751,002603
2022-04-29 00:00:00,25.31,23.6,23.6,24.9,104400219,002603
2022-05-05 00:00:00,26.6,24.55,24.94,26.05,105860183,002603
2022-05-06 00:00:00,27.9,24.9,25.31,26.5,106277793,002603
2022-05-09 00:00:00,29,24.76,26.17,27.66,123344630,002603
2022-05-10 00:00:00,27.5,26.1,26.48,26.67,88196775,002603
2022-05-11 00:00:00,28.18,26.5,27.15,26.51,92015513,002603
2022-05-12 00:00:00,26.66,25.36,25.9,25.79,62928072,002603
2022-05-13 00:00:00,27.26,25.87,25.92,26.05,67897625,002603
2022-05-16 00:00:00,26.34,24.59,26,24.71,84596628,002603
2022-05-17 00:00:00,24.71,23.26,24.66,23.65,80687084,002603
2022-05-18 00:00:00,24.05,23.45,23.65,23.55,42040673,002603
2022-05-19 00:00:00,23.38,22.73,22.9,23.1,49358203,002603
2022-05-20 00:00:00,23.5,22.43,23.25,23.14,60114215,002603
2022-05-23 00:00:00,23.79,23.01,23.15,23.66,60069343,002603
2022-05-24 00:00:00,23.67,21.89,23.66,21.93,78923455,002603
2022-05-25 00:00:00,22.42,21.6,21.88,22.26,46376433,002603
2022-05-26 00:00:00,22.6,21.68,22.4,22.04,39583956,002603
2022-05-27 00:00:00,22.45,21.8,22.05,22.26,43890968,002603
2022-05-30 00:00:00,22.44,21.25,22.18,21.85,51469729,002603
2022-05-31 00:00:00,21.88,21.26,21.7,21.81,42831587,002603
2022-06-01 00:00:00,22.08,21.54,21.75,21.59,36779251,002603
2022-06-02 00:00:00,21.67,21.17,21.5,21.4,32305563,002603
2022-06-06 00:00:00,21.94,21.28,21.3,21.89,41193352,002603
2022-06-07 00:00:00,23.87,21.76,22.08,23.38,109075769,002603
2022-06-08 00:00:00,23.25,22.59,22.99,22.7,67284551,002603
2022-06-09 00:00:00,22.86,22.1,22.6,22.15,43060570,002603
2022-06-10 00:00:00,22.79,21.91,22,22.57,42895372,002603
2022-06-13 00:00:00,22.57,21.8,22.33,22.02,45006857,002603
2022-06-14 00:00:00,21.93,21.11,21.78,21.9,41967049,002603
2022-06-15 00:00:00,22.27,21.73,21.78,21.95,37136164,002603
2022-06-16 00:00:00,23.2,22.03,22.03,22.87,79310413,002603
2022-06-17 00:00:00,22.99,22.4,22.6,22.9,45018950,002603
2022-06-20 00:00:00,24.24,22.95,22.95,24.07,87445450,002603
2022-06-21 00:00:00,24.55,23.23,24.07,23.45,67526953,002603
2022-06-22 00:00:00,25.69,23.54,23.58,24.91,107931697,002603
2022-06-23 00:00:00,25.4,24.3,24.96,25.39,82976737,002603
2022-06-24 00:00:00,25.66,24.76,25.38,24.96,64355719,002603
2022-06-27 00:00:00,25.78,24.63,25.15,24.73,62575588,002603
2022-06-28 00:00:00,24.52,23.91,24.5,24.24,52969864,002603
2022-06-29 00:00:00,24.48,23.77,24.15,23.78,43813469,002603
2022-06-30 00:00:00,24.58,23.86,24,24.3,45013010,002603
2022-07-01 00:00:00,24.29,23.83,24.16,23.9,30838143,002603
2022-07-04 00:00:00,25.38,24.11,24.15,25.25,79350796,002603
2022-07-05 00:00:00,25.34,24.6,25.26,25,48224780,002603
2022-07-06 00:00:00,25.5,24.32,25.1,24.47,46674662,002603
2022-07-07 00:00:00,24.64,23.81,24.3,24.55,35035772,002603
2022-07-08 00:00:00,25.24,24.21,24.55,25.11,57938719,002603
2022-07-11 00:00:00,27.5,25.34,25.6,26.9,122587722,002603
2022-07-12 00:00:00,28.52,26.03,26.73,27.17,109830965,002603
2022-07-13 00:00:00,26.98,26,26.68,26.15,64456160,002603
2022-07-14 00:00:00,26.51,25.82,26.21,25.86,43805482,002603
2022-07-15 00:00:00,26.44,25.37,25.65,25.77,44435286,002603
2022-07-18 00:00:00,25.94,24.7,25.85,25.68,42327865,002603
2022-07-19 00:00:00,25.59,25,25.32,25.23,29095923,002603
2022-07-20 00:00:00,25.91,25.11,25.23,25.72,36023540,002603
2022-07-21 00:00:00,26.17,25.21,25.73,25.22,33274319,002603
2022-07-22 00:00:00,25.37,23.97,25.15,24.25,47459362,002603
2022-07-25 00:00:00,24.55,24.06,24.2,24.24,20679445,002603
2022-07-26 00:00:00,24.36,22.59,24.27,23.17,48365491,002603
2022-07-27 00:00:00,23.35,22.9,23.17,23.07,25006923,002603
2022-07-28 00:00:00,23.25,22.94,23.12,22.96,22363804,002603
2022-07-29 00:00:00,23.03,22.1,23.01,22.19,39258380,002603
2022-08-01 00:00:00,22.5,21.8,22.2,22.34,21242639,002603
